What changes would you recommend to improve this course?,Label,What did you like best about your instructors teaching?,Label,What did you like least about your instructor’s teaching?,Label,"Any further, constructive comment: ",Label
Implement a peer-review system for assignments and projects.,Acceptance,the knowledge that he knew about the course was on point with the teaching,Satisfaction,"nothing i can think of,  maybe just sad about the time where he said he'll try to bring router to school to further elaborate the current topic we are discussing but he got busy and probably forgot about it HAHAHAHAHA",Disappointment,The professor's ability to teach the subject and his mastery of the topics are good enough that the student can understand the technicalities he is speaking. The only problem is the attendance of the professor during class schedules.,Acceptance
More practicality,Acceptance,"On how he is very chill, yet strict in teaching, submitting and checking of outputs.",Satisfaction,"they would sometimes go overtime during their lectures, but understandable due to the subject being explained thoroughly",Acceptance,I hope in the upcoming sem he will be fair to us students or who will be his students because many students are failing.,Disappointment
More examples and demonstrations especially in making system/s,Acceptance,"-the instructor knows his subject very well and teaches us the knowledge he has including the basic.
-the instructor gives us time to finish our project rather than rushing us.
-understands us as a student, doesn't give heavy project. ",Satisfaction,"dropping all works, activities, and modules in one day T____T, then all due next week or next meet or today or tomorrow. it's suffocating me HAHAHAHAHA, but it's fine though makes me thrilled with my time management skills.",Disappointment,less strict = less pressure,Satisfaction
"chill time probably. what i mean with that is like, not just read all and explain all topics, but like take his time to actually consider if the students digested the topics. give time to elaborate and slow down with topic switch. ",Acceptance,Explaining the lesson using there own knowledge,Satisfaction,N/A,Acceptance,Wish he had more time to meet us.,Disappointment
letting us know the exact time of our class meeting,Acceptance,Attentive,Satisfaction,"Strict at its finest, but still well job done at teaching.",Acceptance,"sir i know you'll read this but u said honest, so i'll be completely honest as i was for the past profs i evaluated also. everything i rated was solely based on my observations when we met for classes (which is super rare, but understandable cause of your schedule and everything) as a prof, you were really encouraging with your words, and how you make adjustments for everyone. i appreciate all the extended time for submissions and for the neat and clear instructions and announcements every time. i like also when you keep being nice to us in a way you make us feel that we're more than just a student, that we also need to enjoy life and be safe always. and i thank you for that but as a student in like the real school learning scenario, i am not really learning that well specially that you were obviously expecting us to know stuff from the previous courses we took (which is sad also cause i am not learning that much too). the modules were helpful but im kind of dyslexic and i struggle with reading so much letters in one page hence me struggling with most stuff since its more on reading. your exams also are like out of the blue HAHAHAHA. i mean its hard when you get bombarded with 10 modules and expect to fully digest everything. which is not your fault at all, but it would be nice to have a prof, that could guide us (not being spoonfed, thats totally different) with topics specially that we didnt have that much coding experience, like really. but in this class. i learned how to code through yts tutorial and my bff AI. most of the projects i did for both class, AI was a big help. but i think it kind of set us all off because we're not actually learning each and everything. more like we just learning the general part of coding. so i cant really say that i am good with it cause im not. i cant really rate you for how you teach us, cause were really not doing the usual classes, but i had fun with your subject and the days we had class. specially the random days where we do coding for nothing but just learning (database cmd). its fun and i get to understand everything. ",Disappointment
to have a clear and more understandable PPT,Acceptance,teaching about PHP programming,Acceptance,"Busy so much🙁, pero understandable naman po [PROFESSOR]🙏.",Disappointment,Ok lang.,Acceptance
Be updated to the current trend of tech world.,Acceptance,More on visual,Acceptance,None,Acceptance,"More time for teaching because im very interested in the things i still need to learn,or we stkll need to learn",Disappointment
More hands on programming,Acceptance,his real life examples connected to the lesson/discussion,Acceptance,sometimes he tend to go faster for us to cope up,Acceptance,"I hope that [PROFESSOR] could be more approachable in his interactions with students. While I fully understand and respect the importance of maintaining professionalism and clear boundaries between professor and students, it would be beneficial if he occasionally adopted a more relaxed and open demeanor. This small adjustment could help foster a stronger connection with his students and create a more comfortable and supportive learning environment",Acceptance
More engaging activities.,Acceptance,the consistent recitations during lessons for us to really study and understand what is being taught to be able to answer,Acceptance,The exams/quizzes can be tough.,Acceptance,sir has a mastery skill of teaching but lack of time management,Acceptance
a more engaging teacher,Acceptance,he gives good examples and fair/subtle hints on solving problems during excersises,Acceptance,Just enough meeting of class.,Acceptance,"I believe that improving teaching methods will not only enhance the students’ learning experience but also reflect positively on the reputation of our college. Students need instructors who are passionate and committed to helping them succeed, especially in courses that require a strong foundational understanding. I hope our instructor can take these suggestions constructively, as we, as students, genuinely want to learn and achieve the learning outcomes expected of us.",Acceptance
Learning materials and the way to teach on the subjects along with activities related to every lesson,Acceptance,Visual presentations are pleasing to the eyes,Acceptance,Some of the activities were challenging.,Acceptance,I hope our instructor considers dedicating more time to hands on teaching during lab hours. This adjustment would not only help students learn more effectively but also enhance the overall quality of the course,Acceptance
"more hands on example, like real scenario ",Acceptance,Gives ample time to work on something,Acceptance,Just enough meetings.,Acceptance,"Teach the lesson in an easy to digest manner. This way, we can learn the lessons on the class alone, and then solidify our understanding at home or through videos. This kind of feedback is great for the student experience.",Acceptance
Give opportunity for the lower scores in exams,Acceptance,open to communicate,Acceptance,"Sometimes, the way she explains the lesson it easy to understand, but the activities she gives are more difficult than the example. However, I'm fine with the way she teaches us.",Acceptance,"The way she teach is okay...just don't make the all the topics or lessons be in 1 day.
Example: We have 8 Topics or Lessons....In every time we take the class 1-5 topics will be discussed in that day...no time for students to let the informations sink in..",Acceptance
More time since summer has a shorter length for classes compared to normal semester,Acceptance,He guides students who has concerns about the lesson and give an advice or idea about their concerns,Satisfaction,"She's a good teacher, it's just that I occasionally miss things because her voice is often soft.",Acceptance,I hope she will change her teaching skills make it more bearable and give justice to the subject matter. I know she can do best!! :),Acceptance
"more on after lesson activities (like hands on coding, that [PROFESSOR] was already doing in database subject), even if its not graded, just so we know how and whats the purpose of the topic we had just discussed. ",Acceptance,Interactive,Acceptance,Strict si ma'am pero understandable naman.,Acceptance,"only if you have lot of time for the subject matter I would appreciate it more! but we do understand that you have a lot things to do specially you're an adviser, a panellist and a father. workaholic ka masyado sir!! palapag na lng sir ppt ng machine learning thanks!! :)",Acceptance
Learning materials and the way a prof teaches the course,Acceptance,understanding towards students,Acceptance,Late pero ok na,Acceptance,The teacher only read PowerPoint please explain,Acceptance
more group activities/quicker pace on lessons,Acceptance,The stock knowledge and information about the topics.,Acceptance,"I like Sir [PROFESSOR] and his teaching methods. However, there are times when I feel a bit overwhelmed by the volume of materials and PowerPoint presentations he shares in our group chat. But I understand that his intention is to provide us with comprehensive resources.",Acceptance,Improve quality of teaching as overall,Acceptance
