School Year,Semester,Course,Course_code,Subject_Description,What changes would you recommend to improve this course?,Label,School Year,Semester,Course,Course_code,Subject_Description,What did you like best about your instructors teaching?,Label,School Year,Semester,Course,Course_code,Subject_Description,What did you like least about your instructor’s teaching?,Label,School Year,Semester,Course,Course_code,Subject_Description,"Any further, constructive comment: ",Label
2024-2025,2nd Semester,Bachelor of Science in Information Technology,IT 124,Networking 1,Implement a peer-review system for assignments and projects.,Acceptance,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 135,Systems Integration and Architecture,the knowledge that he knew about the course was on point with the teaching,Acceptance,,,,,,"nothing i can think of,  maybe just sad about the time where he said he'll try to bring router to school to further elaborate the current topic we are discussing but he got busy and probably forgot about it HAHAHAHAHA",Disappointment,,,,,,The professor's ability to teach the subject and his mastery of the topics are good enough that the student can understand the technicalities he is speaking. The only problem is the attendance of the professor during class schedules.,Acceptance
2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 133,Networking 2,More practicality,Acceptance,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 105,Application Development and Emerging Technologies,"On how he is very chill, yet strict in teaching, submitting and checking of outputs.",Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 139,Web Programming and Development,"they would sometimes go overtime during their lectures, but understandable due to the subject being explained thoroughly",Acceptance,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 135,Systems Integration and Architecture,I hope in the upcoming sem he will be fair to us students or who will be his students because many students are failing.,Acceptance
2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 105,Application Development and Emerging Technologies,More examples and demonstrations especially in making system/s,Acceptance,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 137,Web Systems and Technologies,"-the instructor knows his subject very well and teaches us the knowledge he has including the basic.
-the instructor gives us time to finish our project rather than rushing us.
-understands us as a student, doesn't give heavy project. ",Acceptance,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 131,Advanced Database Systems,"dropping all works, activities, and modules in one day T____T, then all due next week or next meet or today or tomorrow. it's suffocating me HAHAHAHAHA, but it's fine though makes me thrilled with my time management skills.",Acceptance,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 135,Systems Integration and Architecture,less strict = less pressure,Acceptance
2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 135,Systems Integration and Architecture,"chill time probably. what i mean with that is like, not just read all and explain all topics, but like take his time to actually consider if the students digested the topics. give time to elaborate and slow down with topic switch. ",Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,SIPP 125,Social Issues and Professional Practice,Explaining the lesson using there own knowledge,Acceptance,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 131,Networking 2,N/A,Acceptance,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 135,Systems Integration and Architecture,Wish he had more time to meet us.,Acceptance
2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 105,Application Development and Emerging Technologies,letting us know the exact time of our class meeting,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,SIPP 125,Social Issues and Professional Practice,Attentive,Acceptance,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 135,Systems Integration and Architecture,"Strict at its finest, but still well job done at teaching.",Acceptance,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 131,Networking 2,"sir i know you'll read this but u said honest, so i'll be completely honest as i was for the past profs i evaluated also. everything i rated was solely based on my observations when we met for classes (which is super rare, but understandable cause of your schedule and everything) as a prof, you were really encouraging with your words, and how you make adjustments for everyone. i appreciate all the extended time for submissions and for the neat and clear instructions and announcements every time. i like also when you keep being nice to us in a way you make us feel that we're more than just a student, that we also need to enjoy life and be safe always. and i thank you for that but as a student in like the real school learning scenario, i am not really learning that well specially that you were obviously expecting us to know stuff from the previous courses we took (which is sad also cause i am not learning that much too). the modules were helpful but im kind of dyslexic and i struggle with reading so much letters in one page hence me struggling with most stuff since its more on reading. your exams also are like out of the blue HAHAHAHA. i mean its hard when you get bombarded with 10 modules and expect to fully digest everything. which is not your fault at all, but it would be nice to have a prof, that could guide us (not being spoonfed, thats totally different) with topics specially that we didnt have that much coding experience, like really. but in this class. i learned how to code through yts tutorial and my bff AI. most of the projects i did for both class, AI was a big help. but i think it kind of set us all off because we're not actually learning each and everything. more like we just learning the general part of coding. so i cant really say that i am good with it cause im not. i cant really rate you for how you teach us, cause were really not doing the usual classes, but i had fun with your subject and the days we had class. specially the random days where we do coding for nothing but just learning (database cmd). its fun and i get to understand everything. ",Acceptance
2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 133,Networking 2,to have a clear and more understandable PPT,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 139,Web Programming and Development,teaching about PHP programming,Acceptance,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 131,Networking 2,"Busy so much🙁, pero understandable naman po [PROFESSOR]🙏.",Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 139,Web Programming and Development,Ok lang.,Acceptance
2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 135,Systems Integration and Architecture,Be updated to the current trend of tech world.,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,SIPP 125,Social Issues and Professional Practice,More on visual,Acceptance,,,,,,None,Acceptance,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 105,Application Development and Emerging Technologies,"More time for teaching because im very interested in the things i still need to learn,or we stkll need to learn",Acceptance
2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 101,Computer Programming 1,More hands on programming,Acceptance,2024-2025,1st Semester,Associate in Computer Technology Major in Application Development,SIPP 125,Social Issues and Professional Practice,his real life examples connected to the lesson/discussion,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 139,Web Programming and Development,sometimes he tend to go faster for us to cope up,Acceptance,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 135,Systems Integration and Architecture,"I hope that [PROFESSOR] could be more approachable in his interactions with students. While I fully understand and respect the importance of maintaining professionalism and clear boundaries between professor and students, it would be beneficial if he occasionally adopted a more relaxed and open demeanor. This small adjustment could help foster a stronger connection with his students and create a more comfortable and supportive learning environment",Acceptance
2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 139,IT Elective 1,More engaging activities.,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 103,Data Structures and Algorithms,the consistent recitations during lessons for us to really study and understand what is being taught to be able to answer,Acceptance,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 135,Systems Integration and Architecture,The exams/quizzes can be tough.,Acceptance,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 104,Information Management,sir has a mastery skill of teaching but lack of time management,Acceptance
2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 131,Automata Theory and Formal Languages,a more engaging teacher,Disappointment,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 103,Data Structures and Algorithms,he gives good examples and fair/subtle hints on solving problems during excersises,Acceptance,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 137,Web Systems and Technologies,Just enough meeting of class.,Acceptance,2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 103,Data Structures and Algorithms,"I believe that improving teaching methods will not only enhance the students’ learning experience but also reflect positively on the reputation of our college. Students need instructors who are passionate and committed to helping them succeed, especially in courses that require a strong foundational understanding. I hope our instructor can take these suggestions constructively, as we, as students, genuinely want to learn and achieve the learning outcomes expected of us.",Acceptance
