What changes would you recommend to improve this course?,Label,What did you like best about your instructors teaching?,Label,What did you like least about your instructor’s teaching?,Label,"Any further, constructive comment: ",Label,
N/A,Null,How our instructor answer all the question that were asked by the students,Satisfaction,"less activities, our instructor focuses on discussing the lesson",Disappointment,N/A,Null,
Cannot specify the fields to improve in this course since for the whole semester we only meet for like 3 to 5 times.,Disappointment,It shows that he has a full knowledge or mastery of what he is teaching,Satisfaction,Does not meet regularly.,Disappointment,The professor's ability to teach the subject and his mastery of the topics are good enough that the student can understand the technicalities he is speaking. The only problem is the attendance of the professor during class schedules.,Acceptance,
needs more hands on practice on lesson (e.g: coding in the lab while learning the lesson),Disappointment,Approachability and always willing to answer and making us understand the lesson properly,Joy,none,Null,none,Null,
n/a,Null,easy to absorb/learn the lessons,Joy,n/a,Null,n/a,Null,
None,Null,None,Null,Sometimes instructions are unclear,Disappointment,None,Null,
"the exam/quizzes, it's more on memorization and not leaning on learning.",Disappointment,none,Null,none,Null,"the exams are really hard, and if u fail a certain exam, see u next yr again. instead of learning, what we learn is the trauma on what topics will be given in the exam since it's pretty random and if u think the enumeration on the quiz will be shown on the exam, nope; in the exam day it will be different, it has nothing to do with the quiz ",Disappointment,
Implement a peer-review system for assignments and projects.,Acceptance,"He welcome questions and provide thoughtful, patient answers.",Joy,Lessons felt repetitive without variation in activities,Disappointment,He do not take considerations,Disappointment,
i hope it'll be replaced with someone who takes the subject seriously.,Disappointment,"none, maybe the part where we always got free class (cause he's absent) and can do works for other subjects.",Boredom,"him giving us his whole pandemic zoom video call for our ""lessons"" and try to elaborate further but we still don't get it, (he's not trying) there's this one time where one of my classmate asked a question, he buffered and ignored it instead then proceeded with playing the vid cause he can't answer it lol.",Disappointment,"i had him as a prof for my 2nd year, i hope he's better now. kind of disappointed with the outcome cause, first OOP is like the still most mentioned thing til now that im in my 3rd year yet i still dont get it. i mean sir rham explained it somehow so if it werent for him i'll still be clueless about everything that happened. also sir whesley is so hard to find after class. and the fact that he gave the whole class i think? the same grade says a lot about him to be honest.",Disappointment,
nothing,Null,she explains it well and recalls previous lessons in a manner that doesn't scare me,Satisfaction,nothing,Null,.,Null,
"maybe the changes to improve this course is the consideration, sometimes he was unfair to unexpected events that can affect the students grade, attendance and un-inform of quiz or sometimes late remind that there is a quiz coming up which results in failed scores of my fellow students.",Disappointment,"The Broad idea of topic he was teaching ,that can make students feel interested .",Joy,Sometimes the low voice when he was teaching at lr4 and the people sitting at the back cant hear him.,Disappointment,I hope in the upcoming sem he will be fair to us students or who will be his students because many students are failing.,Acceptance,
More practicality,Acceptance,Explains well and uses different analogy to help us understand,Joy,None,Null,None,Null,
"nothing, he is good with teaching.",Satisfaction,"Top 1 best prof so far, its obvious that he loves his work and you can clearly see it with the way he teaches us. he explains everything so well, gives in real life explanation and elaborates it further when it gets confusing. he also likes to talk out his experiences which makes us understand the specific topic more. he's also very considerate with us, our time and our knowledge capacity. i mean like, when he knows that we are struggling with specific topic, sometimes he elaborates that one topic that it would eat the whole subject time. and honestly its fine for me. he gives out also the modules or ppts that he uses in class. so for the topics that are easy and okay to be skipped, we can read on those later. he's also very mindful and gives chances when u fail to submit assignments or projects or activities on time. he's really nice in and out of class. :))",Joy,"nothing i can think of,  maybe just sad about the time where he said he'll try to bring router to school to further elaborate the current topic we are discussing but he got busy and probably forgot about it HAHAHAHAHA",Acceptance,"he was my prof for 2 subjects already, honestly the best teacher. that's why i dont really have any complaints with my grades cause whatever the outcome is, i deserve it. its on my part now if i fail, because he's doing his part well as a teacher.",Joy,
More examples and demonstrations especially in making system/s,Acceptance,Interaction with students and freedom to choose what is able to do,Satisfaction,None,Null,None,Null,
Nothing,Null,The way she was teaching which helps the students to listen and observe the contents of the topics well,Satisfaction,Nothing,Null,Noone,Null,
"No more long introductions for time efficiency, should have a clear instructions for each matter so that the students will learn and absorb the information fast without asking too many questions that burns the time.",Disappointment,The instructor allows us to explore on our own,Satisfaction,letting us explore on our own without guidance or headsup to our different path,Disappointment,"This course was the beginning for our web development and we were tasked to do some difficult implementations, but obviously we are new to this and we had a hard time—not because we can't do it but we don't know how to. We were thought basic web dev but we were tasked to do much more like implementing interactive maps.",Disappointment,
to be less strict and be more student friendly,Disappointment,the knowledge that he knew about the course was on point with the teaching,Acceptance,"the quizzes/exams, sometimes the questions are really specific (too detailed). making it necessary to memorize every part of the PPTs. This takes away from understanding the main ideas of the PPTs.",Disappointment,less strict = less pressure,Acceptance,
"chill time probably. what i mean with that is like, not just read all and explain all topics, but like take his time to actually consider if the students digested the topics. give time to elaborate and slow down with topic switch. ",Acceptance,"he explains topic well and responds to questions that are being asked. i also kind of like that he uses literal word for word from modules to exam, but then makes us learn nothing. more on memorization and remembering words, more than digesting the actual lesson. ",Disappointment,"his exams are so out of the expected, its like even if u study well its still not certain whether you'll pass, he likes including graphs and tables or drawings on the exams (we suffered) and all i can say is that, he likes giving us quiz/exam with the parts he/we didnt focus on while we were in discussion days. also he's so fast paced. like super fast, i take down notes i cant even catch up with him T___T and he's still so scary, but i like how he disciplines the class. ",Disappointment,"sir made 2 mistakes already with checking both my quiz and exams, (he wronged my right answers, didn't recorrect it with him cause he's scary T^T) he was my prof for 2 subjects already. he gives really low grades haha T__T . (he's my only 2.# in every sem along with 2 other profs, one is his wife T___T) its hard to enjoy his sub for the fact that i think he enjoys making his student suffer with his subject. (its my observation okay?) he isnt that considerate also, pretty mid with teaching. very scary with both as a prof and with grade giving. (he failed half of our class because of the surprise finals, which we thought was just a simple quiz day, i did well and was thankful that i didn't fail, but still, its pretty odd). ",Disappointment,
to be less PPT oriented course,Boredom,"the instructor is very understanding and cares about the student, 
strict during exams but doesn't give a lot of pressure to the students",Joy,"PPT oriented, too much PPT knowledge less on the actual knowledge on how we apply it in real life scenario",Disappointment,no,Null,
Maybe the time management,Disappointment,"On how he is very chill, yet strict in teaching, submitting and checking of outputs.",Acceptance,He’s running out of time.,Disappointment,None,Null,
letting us know the exact time of our class meeting,Acceptance,"the professor is very understanding and knows his student very well.
gives a real-life scenario so we can apply it when we work in real life
doesn't focus much on PPT and focuses on actual idea of the PPT, this gives students more knowledge about the PPT itself rather than understanding the words on the PPT",Joy,nothing. [PROFESSOR] BEST PROF! <3<3,Joy,WE LOVE [PROFESSOR]! <3<3<3,Joy,
