feedback_id,annotator_1,annotator_2,annotator_3
1,acceptance,acceptance,acceptance
2,acceptance,disappointment,disappointment
3,acceptance,satisfaction,acceptance
4,acceptance,disappointment,acceptance
5,acceptance,disappointment,acceptance
6,acceptance,acceptance,acceptance
7,acceptance,disappointment,acceptance
8,acceptance,acceptance,acceptance
9,acceptance,acceptance,acceptance
10,acceptance,acceptance,acceptance
11,acceptance,acceptance,acceptance
12,acceptance,acceptance,acceptance
13,acceptance,acceptance,acceptance
14,acceptance,acceptance,acceptance
15,acceptance,acceptance,acceptance
16,disappointment,acceptance,acceptance
17,acceptance,acceptance,acceptance
18,acceptance,acceptance,acceptance
19,boredom,acceptance,acceptance
20,acceptance,acceptance,acceptance
21,acceptance,acceptance,acceptance
22,acceptance,acceptance,acceptance
23,acceptance,acceptance,acceptance
24,acceptance,acceptance,acceptance
25,acceptance,acceptance,acceptance
26,acceptance,acceptance,acceptance
27,acceptance,acceptance,acceptance
28,acceptance,acceptance,acceptance
29,acceptance,acceptance,acceptance
30,acceptance,acceptance,acceptance
31,boredom,acceptance,acceptance
32,boredom,acceptance,acceptance
33,boredom,acceptance,acceptance
34,acceptance,satisfaction,acceptance
35,acceptance,acceptance,acceptance
36,disappointment,acceptance,acceptance
37,acceptance,acceptance,acceptance
38,acceptance,satisfaction,acceptance
39,acceptance,satisfaction,acceptance
40,acceptance,acceptance,acceptance
41,acceptance,acceptance,acceptance
42,acceptance,acceptance,acceptance
43,acceptance,acceptance,acceptance
44,acceptance,acceptance,acceptance
45,acceptance,acceptance,acceptance
46,acceptance,acceptance,acceptance
47,acceptance,acceptance,acceptance
48,acceptance,acceptance,acceptance
49,acceptance,acceptance,acceptance
50,acceptance,acceptance,acceptance
51,acceptance,acceptance,acceptance
52,acceptance,acceptance,acceptance
53,acceptance,acceptance,acceptance
54,acceptance,acceptance,acceptance
55,acceptance,acceptance,acceptance
56,acceptance,acceptance,acceptance
57,acceptance,acceptance,acceptance
58,acceptance,acceptance,acceptance
59,acceptance,acceptance,acceptance
60,acceptance,acceptance,acceptance
61,acceptance,acceptance,acceptance
62,acceptance,acceptance,acceptance
63,acceptance,acceptance,acceptance
64,acceptance,acceptance,acceptance
65,acceptance,acceptance,acceptance
