feedback,question,label,label_id
very clear teaching,what did you like best about your instructor is teaching?,joy,0
i didn’t dislike anything; i enjoyed the clarity and warmth.,what did you like least about your instructor is teaching?,joy,0
"examples were repeated often, but it ensured everyone understood.",what did you like least about your instructor is teaching?,acceptance,2
"the slides were neat, but they didn’t really teach us.",what did you like best about your instructor is teaching?,disappointment,4
including more group work could break the monotony.,what changes would you recommend to improve this course?,boredom,3
everything is excellent,what changes would you recommend to improve this course?,joy,0
the class sometimes felt more tiring than engaging.,what did you like least about your instructor is teaching?,boredom,3
im satisfied,"any further, constructive comment:",satisfaction,1
maybe sort of redundancy,what changes would you recommend to improve this course?,boredom,3
her teaching is good,what did you like best about your instructor is teaching?,satisfaction,1
should change the handlers of the subject as this instructirs does absolutely nothibg to the students benefit,"any further, constructive comment:",disappointment,4
i didn’t really dislike anything—it was all handled very well.,what did you like least about your instructor is teaching?,satisfaction,1
"nothing stood out, everything felt repetitive and shallow.",what did you like best about your instructor is teaching?,disappointment,4
none. the classes didn’t improve my knowledge.,what did you like best about your instructor is teaching?,disappointment,4
more engaging activities.,what changes would you recommend to improve this course?,acceptance,2
more diverse approach to other algorithms,what changes would you recommend to improve this course?,acceptance,2
the instructor makes complex topics enjoyable.,what changes would you recommend to improve this course?,joy,0
"keep it up, sir!","any further, constructive comment:",joy,0
their way of teaching,what did you like best about your instructor is teaching?,satisfaction,1
none. all goods!! (⁠ ⁠╹⁠▽⁠╹⁠ ⁠),"any further, constructive comment:",satisfaction,1
the boring pace made the subject less stressful.,what did you like best about your instructor is teaching?,boredom,3
the instructor makes learning fun; nothing needs changing.,what changes would you recommend to improve this course?,joy,0
"the best part was how unexciting everything was, no pressure.",what did you like best about your instructor is teaching?,boredom,3
gives coursera course,what did you like best about your instructor is teaching?,satisfaction,1
i loved how the subject didn’t feel heavy because of your teaching.,"any further, constructive comment:",joy,0
"activities took a lot of time, but they were valuable.",what did you like least about your instructor is teaching?,acceptance,2
i hope someday he will teach his students properly,"any further, constructive comment:",disappointment,4
instructor should be able to meet the class most of the time. the instructor is frequent absences has gotten to the point that even other instructors a...,"any further, constructive comment:",disappointment,4
keep it up!,"any further, constructive comment:",joy,0
providing a more detailed course outline with specific learning objectives for each week or topic could help students better understand the goals of t...,what changes would you recommend to improve this course?,disappointment,4
her teaching skills,what did you like best about your instructor is teaching?,satisfaction,1
you turned learning into a happy and positive experience for all of us.,"any further, constructive comment:",joy,0
[professor] always ensures his students learns his topics,what did you like best about your instructor is teaching?,joy,0
ideal prof,"any further, constructive comment:",satisfaction,1
the boring pace made the class drag on endlessly.,what did you like best about your instructor is teaching?,boredom,3
the way sometimes he just reads it the presentation entirely.,what did you like least about your instructor is teaching?,boredom,3
"i liked that we had materials, but no one explained them.",what did you like best about your instructor is teaching?,disappointment,4
"she was my prof for 3 subjects i think? or 4? im not sure. pandemic days were a hassle, but with face to face class i can see that she is kind of okay ...","any further, constructive comment:",disappointment,4
the lectures sometimes feel lifeless.,"any further, constructive comment:",boredom,3
the style of teaching made me feel disconnected.,what did you like least about your instructor is teaching?,boredom,3
you always managed to make learning something i looked forward to.,"any further, constructive comment:",joy,0
none,what did you like best about your instructor is teaching?,acceptance,2
"nothing, the teaching was shallow.",what did you like best about your instructor is teaching?,disappointment,4
"the teaching style was too fast, i didn’t learn anything.",what did you like best about your instructor is teaching?,disappointment,4
the course is motivating an joyful.,what changes would you recommend to improve this course?,joy,0
"the class is fun, engaging, and well-paced.",what changes would you recommend to improve this course?,joy,0
i can’t think of anything least liked.,what did you like least about your instructor is teaching?,satisfaction,1
i hope our instructor considers dedicating more time to hands on teaching during lab hours. this adjustment would not only help students learn more ef...,"any further, constructive comment:",acceptance,2
i hope it will be replaced with someone who takes the subject seriously.,what changes would you recommend to improve this course?,disappointment,4
"when it comes to the lectures, i am overwhelmed by the number of files he is sending in our group chat. but its not really an issue though, it is just ...",what did you like least about your instructor is teaching?,boredom,3
loved the way the course is taught; occasional recap slides would be helpful.,what changes would you recommend to improve this course?,satisfaction,1
he is good at explaining,what did you like best about your instructor is teaching?,satisfaction,1
good pc for lab activities,what changes would you recommend to improve this course?,disappointment,4
"i know it’s not easy to handle large topics, and i appreciate the attempt to make them manageable.","any further, constructive comment:",acceptance,2
"i accept that there were limits in teaching time, but i value the effort given.","any further, constructive comment:",acceptance,2
no negatives — the instructor made the material shine.,what did you like least about your instructor is teaching?,joy,0
"honestly, i can’t really find anything to dislike—it all worked well for me.",what did you like least about your instructor is teaching?,satisfaction,1
"i liked that the instructor gave exams, but they weren’t aligned with the lessons.",what did you like best about your instructor is teaching?,disappointment,4
"[professor] very student friendly, always good mood!","any further, constructive comment:",joy,0
"classes sometimes felt long, but it meant more time for learning.",what did you like least about your instructor is teaching?,acceptance,2
it is all good.,what changes would you recommend to improve this course?,satisfaction,1
i liked how the class didn’t require much attention.,what did you like best about your instructor is teaching?,boredom,3
"i never felt bored in your class, which is rare for me.","any further, constructive comment:",joy,0
i didn’t find anything to dislike.,what did you like least about your instructor is teaching?,satisfaction,1
i wish there were activities that wake us up.,"any further, constructive comment:",boredom,3
online learning method,what did you like best about your instructor is teaching?,satisfaction,1
"the course itself is a great experience for students, and the instructor does his best to provide knowledge to students.","any further, constructive comment:",satisfaction,1
the only thing i liked was when the class ended early.,what did you like best about your instructor is teaching?,disappointment,4
you made the subject not only understandable but exciting.,"any further, constructive comment:",joy,0
open to communicate,what did you like best about your instructor is teaching?,acceptance,2
always all ears for students and considerate at most time,"any further, constructive comment:",satisfaction,1
the only downside is that i wanted more time each class.,what did you like least about your instructor is teaching?,joy,0
explain the lessons more clearly and attend the class,what changes would you recommend to improve this course?,disappointment,4
the only small gripe: i wanted more examples because they were illuminating.,what did you like least about your instructor is teaching?,joy,0
the subject felt heavier than it should have because of unclear instructions.,"any further, constructive comment:",disappointment,4
"nothing much, the subjects hard so yeah brain capacity matters.",what changes would you recommend to improve this course?,satisfaction,1
gives course sources that helped us learn more,what did you like best about your instructor is teaching?,acceptance,2
long lectures with no interaction make it hard to learn.,"any further, constructive comment:",boredom,3
"the professor often seemed unprepared, which reflected poorly on the lessons.","any further, constructive comment:",disappointment,4
more learning materials,what changes would you recommend to improve this course?,acceptance,2
"honestly, i liked everything.",what did you like least about your instructor is teaching?,satisfaction,1
the lesson is a bit hard to understand,what did you like least about your instructor is teaching?,disappointment,4
i understood the lessons well and improved my logic because of him and sir [professor].,"any further, constructive comment:",satisfaction,1
clear explanations,what did you like best about your instructor is teaching?,joy,0
nothing needs improvement; the learning experience is already joyful.,what changes would you recommend to improve this course?,joy,0
he goes through the material too fast.,what did you like least about your instructor is teaching?,boredom,3
i really liked the class and cannot find anything significantly negative about it.,"any further, constructive comment:",joy,0
teaching style,what did you like least about your instructor is teaching?,disappointment,4
his teaching style also,what did you like best about your instructor is teaching?,satisfaction,1
teaching is very good; slightly slower pacing on complex topics would help.,what changes would you recommend to improve this course?,satisfaction,1
i’m happy with the learning experience; more collaboration tasks could make it enjoyable.,what changes would you recommend to improve this course?,satisfaction,1
"honestly, nothing. since she was not able to teach us anything throughout the course.",what did you like best about your instructor is teaching?,disappointment,4
i think it is the instructor and not the course that needs improvement. he needs to attend his class regularly and teach properly.,what changes would you recommend to improve this course?,disappointment,4
i liked the boring routine—it felt steady.,what did you like best about your instructor is teaching?,boredom,3
i was able to understand the discussions in this subject because the way of her teaching,"any further, constructive comment:",satisfaction,1
quality of the visual aids.,"any further, constructive comment:",disappointment,4
i liked that i never felt surprised in class.,what did you like best about your instructor is teaching?,boredom,3
the instructor does not manage class time effectively,what did you like least about your instructor is teaching?,disappointment,4
[professor] patience and dedication to incorporate real world scenarios in our lessons and the activities were very engaging.,what did you like best about your instructor is teaching?,joy,0
the lack of variety in teaching style makes the subject less exciting.,"any further, constructive comment:",boredom,3
little engagement with students,what did you like least about your instructor is teaching?,disappointment,4
sometimes i zone out because the lecture is too calm.,what changes would you recommend to improve this course?,boredom,3
the monotony was dull but steady.,what did you like best about your instructor is teaching?,boredom,3
a more engaging teacher,what changes would you recommend to improve this course?,acceptance,2
"i appreciate that the teacher is approachable, even if feedback is sometimes brief.","any further, constructive comment:",acceptance,2
could include mini-projects to make lessons engaging.,what changes would you recommend to improve this course?,boredom,3
"i liked that we had slides, but it was just reading and not teaching.",what did you like best about your instructor is teaching?,disappointment,4
"none, the instructor taught us well.",what changes would you recommend to improve this course?,satisfaction,1
i loved this course; maybe a few more real-life examples could make it more interesting.,what changes would you recommend to improve this course?,satisfaction,1
"the teaching method and the ability to understand the students needs like for example is the due date or our project, it help us makes a better projec...",what did you like best about your instructor is teaching?,joy,0
sometimes i feel like the professor could add more excitement.,"any further, constructive comment:",boredom,3
nothing,what did you like least about your instructor is teaching?,acceptance,2
i really can’t point out a least liked aspect.,what did you like least about your instructor is teaching?,satisfaction,1
easy to understand,what did you like best about your instructor is teaching?,satisfaction,1
"discussions went off-topic sometimes, but the stories were inspiring.",what did you like least about your instructor is teaching?,acceptance,2
the explanations were clear and the topics were presented in a way that is easily digestible.,what did you like best about your instructor is teaching?,joy,0
"to improve this course, i recommend focusing on a more structured and detailed approach to teaching.",what changes would you recommend to improve this course?,acceptance,2
"nothing much, he is doing his part very well throughout the whole semester","any further, constructive comment:",satisfaction,1
"announcements sometimes came late, but understandable due to many responsibilities.",what did you like least about your instructor is teaching?,acceptance,2
"i just hope that [professor] can give us students more heads up on certain assessments. other than that, i enjoyed learning during sir [professor] cla...",what did you like least about your instructor is teaching?,acceptance,2
"i was expecting to learn more from this subject, but it felt like most of the time we were left on our own.","any further, constructive comment:",disappointment,4
"the subject could have been exciting, but the lack of energy in teaching made it boring.","any further, constructive comment:",disappointment,4
some explanations feel too long and detailed.,what changes would you recommend to improve this course?,boredom,3
the subject is interesting but feels dull in class.,"any further, constructive comment:",boredom,3
sometimes i feel restless because of the teaching style.,"any further, constructive comment:",boredom,3
i do really appreciate this kind of teacher this is the standard that the school need.,"any further, constructive comment:",joy,0
explain more the topic,what changes would you recommend to improve this course?,acceptance,2
what i like is the prayers before and after the classs and also on how he encourage us to study more and believe in ourselves,what did you like best about your instructor is teaching?,acceptance,2
"i know the professor has expertise, though sometimes it felt like we couldn’t catch up.","any further, constructive comment:",acceptance,2
"the voice was soft, but i listened closely.",what did you like least about your instructor is teaching?,acceptance,2
"none. well, his time was originally meant only for the lab, so we are really thankful that he takes the time to lecture with us and trusts our ability ...",what did you like least about your instructor is teaching?,acceptance,2
i can’t point to anything negative — the class was inspiring.,what did you like least about your instructor is teaching?,joy,0
"honestly, i liked it all.",what did you like least about your instructor is teaching?,satisfaction,1
"better equipments, faster computers",what changes would you recommend to improve this course?,acceptance,2
focus on her work,what did you like best about your instructor is teaching?,acceptance,2
giving real-life situations and examples.,what did you like best about your instructor is teaching?,joy,0
more interaction could prevent boredom.,what changes would you recommend to improve this course?,boredom,3
not that i don’t like it that much but at laboratory time i get quite pressured because most of the time i’m just like loading in a sense that i canno...,"any further, constructive comment:",boredom,3
"i truly enjoyed how approachable and friendly you are, sir.","any further, constructive comment:",joy,0
"just keep it the way it is, or keep further improvements","any further, constructive comment:",satisfaction,1
"there isn’t really a “least liked” part, since i liked the approach overall.",what did you like least about your instructor is teaching?,satisfaction,1
not always meeting the class,what did you like best about your instructor is teaching?,disappointment,4
"sometimes the pace is too calm, leading to boredom.",what changes would you recommend to improve this course?,boredom,3
nothing,what changes would you recommend to improve this course?,acceptance,2
she gave a lot of time to do our final output,what did you like best about your instructor is teaching?,acceptance,2
chill,what did you like least about your instructor is teaching?,boredom,3
i had a great and fun learning experience.,what changes would you recommend to improve this course?,joy,0
group reports,what did you like best about your instructor is teaching?,acceptance,2
less assignment,what changes would you recommend to improve this course?,acceptance,2
more interactive activities would make it even more enjoyable.,what changes would you recommend to improve this course?,joy,0
one of my favorite teachers.,"any further, constructive comment:",joy,0
sometimes i wished the discussions would continue longer.,what did you like least about your instructor is teaching?,satisfaction,1
more class time,what changes would you recommend to improve this course?,disappointment,4
not much clarification on questions,what did you like least about your instructor is teaching?,disappointment,4
none. the instructor wasn’t effective in explaining.,what did you like best about your instructor is teaching?,disappointment,4
teach us really and be open on ideas.,"any further, constructive comment:",acceptance,2
"nothing, he does good in explaining",what changes would you recommend to improve this course?,satisfaction,1
to explain beyond understanding about se,what did you like best about your instructor is teaching?,satisfaction,1
"i liked the routine, even though it put me to sleep.",what did you like best about your instructor is teaching?,boredom,3
i only liked the fact that attendance was counted.,what did you like best about your instructor is teaching?,disappointment,4
can answer the questions carefully and with real life examples.,what did you like best about your instructor is teaching?,joy,0
explain slowly,what changes would you recommend to improve this course?,acceptance,2
approachable,what did you like best about your instructor is teaching?,joy,0
all good!,"any further, constructive comment:",satisfaction,1
nothing—it was all clear and enjoyable.,what did you like least about your instructor is teaching?,satisfaction,1
the entertainment and interesting facts,what did you like best about your instructor is teaching?,joy,0
sometimes i wish the professor added more energy when presenting.,"any further, constructive comment:",boredom,3
the least i liked was the limited time for the many fun activities.,what did you like least about your instructor is teaching?,joy,0
she does explain well and very approachable when it comes to asking questions,what did you like best about your instructor is teaching?,joy,0
"he teach good, it just that we always report the subjects instead of he teach that to us",what did you like best about your instructor is teaching?,acceptance,2
some topics feel repetitive and make the class less exciting.,what changes would you recommend to improve this course?,boredom,3
loveyou ma'am. thank you 🩷,"any further, constructive comment:",joy,0
