feedback_text,question,question_num,emotion
The only issue: I became too excited about the subject and read ahead.,What did you like least about your instructor's teaching?,Q3,joy
"Group work was hard to coordinate, but it helped us bond.",What did you like least about your instructor's teaching?,Q3,acceptance
The way sometimes he just reads it the presentation entirely.,What did you like least about your instructor's teaching?,Q3,boredom
"the instructor teaches us like we are in a network engineering school
the instructor knows the subject very well
gives us time to finish our assignmen...",What did you like best about your instructor's teaching?,Q2,joy
None. The classes didn’t improve my knowledge.,What did you like best about your instructor's teaching?,Q2,disappointment
too much information and almost no time for students to have a time to let the informations sink in to our minds....,What did you like least about your instructor's teaching?,Q3,disappointment
I’m very satisfied with how the class helped me develop my coding skills.,"Any further, constructive comment:",Q4,satisfaction
There is nothing I would recommend to improve regarding this course. The professor delivered the material with clarity and effectiveness and I gained ...,What changes would you recommend to improve this course?,Q1,satisfaction
More lively examples would make the lectures enjoyable.,What changes would you recommend to improve this course?,Q1,boredom
"I hope to enroll in your subject again, because I enjoyed it so much.","Any further, constructive comment:",Q4,joy
do not overcrowd our brain,What changes would you recommend to improve this course?,Q1,disappointment
Sometimes instructions are unclear,What did you like least about your instructor's teaching?,Q3,disappointment
The instructor makes learning joyful and effective.,What changes would you recommend to improve this course?,Q1,joy
There was nothing that felt negative.,What did you like least about your instructor's teaching?,Q3,satisfaction
well rounded instructor,"Any further, constructive comment:",Q4,joy
The course would be livelier with more interactive activities.,"Any further, constructive comment:",Q4,boredom
The inaudible when teaching,What did you like least about your instructor's teaching?,Q3,disappointment
"I expected constructive criticism, but most feedback was either vague or discouraging.","Any further, constructive comment:",Q4,disappointment
Teaching Style,What changes would you recommend to improve this course?,Q1,acceptance
Synchronization of project with SE,What changes would you recommend to improve this course?,Q1,disappointment
"i don't have any recommendation to improve this course, because i have a good experience in this course.",What changes would you recommend to improve this course?,Q1,satisfaction
Good.,"Any further, constructive comment:",Q4,satisfaction
Teach us really and be open on ideas.,"Any further, constructive comment:",Q4,acceptance
"Some discussions were abstract, but they made sense later.",What did you like least about your instructor's teaching?,Q3,acceptance
The professor’s style makes learning fun and exciting.,What changes would you recommend to improve this course?,Q1,joy
The only thing is that sometimes I wished the topics went deeper.,What did you like least about your instructor's teaching?,Q3,satisfaction
The fun activities in your class made learning less stressful.,"Any further, constructive comment:",Q4,joy
"I like how Ma'am enjoys how her teaching goes, but why me INC Ma'am huhu. I did my best huhu",What did you like best about your instructor's teaching?,Q2,disappointment
one of my favorite teachers.,"Any further, constructive comment:",Q4,joy
"More interactive lessons would be great, but overall fun.",What changes would you recommend to improve this course?,Q1,joy
The boring explanations gave me space to think of other work.,What did you like best about your instructor's teaching?,Q2,boredom
The course is already enjoyable; nothing to improve.,What changes would you recommend to improve this course?,Q1,joy
