What changes would you recommend to improve this course?,Label,What did you like best about your instructors teaching?,Label,What did you like least about your instructor’s teaching?,Label,"Any further, constructive comment: ",Label
N/A,Null,How our instructor answer all the question that were asked by the students,Satisfaction,"less activities, our instructor focuses on discussing the lesson",Select---,N/A,Select---
Cannot specify the fields to improve in this course since for the whole semester we only meet for like 3 to 5 times.,Disappointment,It shows that he has a full knowledge or mastery of what he is teaching,Satisfaction,Does not meet regularly.,Select---,The professor's ability to teach the subject and his mastery of the topics are good enough that the student can understand the technicalities he is speaking. The only problem is the attendance of the professor during class schedules.,Select---
needs more hands on practice on lesson (e.g: coding in the lab while learning the lesson),Disappointment,Approachability and always willing to answer and making us understand the lesson properly,Joy,none,Select---,none,Select---
n/a,Null,easy to absorb/learn the lessons,Joy,n/a,Select---,n/a,Select---
None,Null,None,Null,Sometimes instructions are unclear,Select---,None,Select---
"the exam/quizzes, it's more on memorization and not leaning on learning.",Disappointment,none,Null,none,Select---,"the exams are really hard, and if u fail a certain exam, see u next yr again. instead of learning, what we learn is the trauma on what topics will be given in the exam since it's pretty random and if u think the enumeration on the quiz will be shown on the exam, nope; in the exam day it will be different, it has nothing to do with the quiz ",Select---
Implement a peer-review system for assignments and projects.,Acceptance,"He welcome questions and provide thoughtful, patient answers.",Joy,Lessons felt repetitive without variation in activities,Select---,He do not take considerations,Select---
i hope it'll be replaced with someone who takes the subject seriously.,Disappointment,"none, maybe the part where we always got free class (cause he's absent) and can do works for other subjects.",Boredom,"him giving us his whole pandemic zoom video call for our ""lessons"" and try to elaborate further but we still don't get it, (he's not trying) there's this one time where one of my classmate asked a question, he buffered and ignored it instead then proceeded with playing the vid cause he can't answer it lol.",Select---,"i had him as a prof for my 2nd year, i hope he's better now. kind of disappointed with the outcome cause, first OOP is like the still most mentioned thing til now that im in my 3rd year yet i still dont get it. i mean sir rham explained it somehow so if it werent for him i'll still be clueless about everything that happened. also sir whesley is so hard to find after class. and the fact that he gave the whole class i think? the same grade says a lot about him to be honest.",Select---
nothing,Null,she explains it well and recalls previous lessons in a manner that doesn't scare me,Satisfaction,nothing,Select---,.,Select---
"maybe the changes to improve this course is the consideration, sometimes he was unfair to unexpected events that can affect the students grade, attendance and un-inform of quiz or sometimes late remind that there is a quiz coming up which results in failed scores of my fellow students.",Disappointment,"The Broad idea of topic he was teaching ,that can make students feel interested .",Joy,Sometimes the low voice when he was teaching at lr4 and the people sitting at the back cant hear him.,Select---,I hope in the upcoming sem he will be fair to us students or who will be his students because many students are failing.,Select---
More practicality,Acceptance,Explains well and uses different analogy to help us understand,Joy,None,Select---,None,Select---
"nothing, he is good with teaching.",Satisfaction,"Top 1 best prof so far, its obvious that he loves his work and you can clearly see it with the way he teaches us. he explains everything so well, gives in real life explanation and elaborates it further when it gets confusing. he also likes to talk out his experiences which makes us understand the specific topic more. he's also very considerate with us, our time and our knowledge capacity. i mean like, when he knows that we are struggling with specific topic, sometimes he elaborates that one topic that it would eat the whole subject time. and honestly its fine for me. he gives out also the modules or ppts that he uses in class. so for the topics that are easy and okay to be skipped, we can read on those later. he's also very mindful and gives chances when u fail to submit assignments or projects or activities on time. he's really nice in and out of class. :))",Joy,"nothing i can think of,  maybe just sad about the time where he said he'll try to bring router to school to further elaborate the current topic we are discussing but he got busy and probably forgot about it HAHAHAHAHA",Select---,"he was my prof for 2 subjects already, honestly the best teacher. that's why i dont really have any complaints with my grades cause whatever the outcome is, i deserve it. its on my part now if i fail, because he's doing his part well as a teacher.",Select---
More examples and demonstrations especially in making system/s,Acceptance,Interaction with students and freedom to choose what is able to do,Satisfaction,None,Select---,None,Select---
Nothing,Null,The way she was teaching which helps the students to listen and observe the contents of the topics well,Satisfaction,Nothing,Select---,Noone,Select---
"No more long introductions for time efficiency, should have a clear instructions for each matter so that the students will learn and absorb the information fast without asking too many questions that burns the time.",Disappointment,The instructor allows us to explore on our own,Satisfaction,letting us explore on our own without guidance or headsup to our different path,Select---,"This course was the beginning for our web development and we were tasked to do some difficult implementations, but obviously we are new to this and we had a hard time—not because we can't do it but we don't know how to. We were thought basic web dev but we were tasked to do much more like implementing interactive maps.",Select---
to be less strict and be more student friendly,Disappointment,the knowledge that he knew about the course was on point with the teaching,Acceptance,"the quizzes/exams, sometimes the questions are really specific (too detailed). making it necessary to memorize every part of the PPTs. This takes away from understanding the main ideas of the PPTs.",Select---,less strict = less pressure,Select---
